1,I/a
2,I/b
3,I/c
4,I/d
5,II/a
6,II/b
7,II/c
8,II/d
9,III/a
10,III/b
11,III/c
12,III/d
13,IV/a
14,IV/b
15,IV/c
16,IV/d
17,IV/e
