1,INSPEKTUR JENDERAL POLISI
2,BRIGADIR JENDERAL POLISI
3,KOMBES POL
4,AKBP
5,KOMPOL
6,AKP
7,IPTU
8,IPDA
9,AIPTU
10,AIPDA
11,BRIPKA
12,BRIGPOL
13,BRIGADIR
14,BRIPTU
15,BRIPDA
16,ABRIP
17,ABRIPTU
18,ABRIPDA
19,BHARAKA
20,BHARATU
21,BHARADA
22,PEMBINA I
23,PEMBINA
24,PENATA I
25,PENATA
26,PENDA I
27,PENDA
28,PENGATUR I
29,PENGATUR
30,PENGDA I
31,PENGDA
32,CPNS
33,CAPEG
